id,name,host_id,host_profile_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
633762,Apto Loft Torres de Serranos,3155089,1462620585062207330,Francisco,CIUTAT VELLA,LA SEU,39.4787,-0.37599,Entire home/apt,,1,281,2026-06-08,1.78,13,316,22,Spain - National registration number<br />ESFCTU000046057000874201000000000000000000VT-33840-V2<br /><br />Valencia - Regional registration number<br />VT-33840-V
643644,Charming flat in Ruzafa,3218281,1462528586714272208,Salvo,L'EIXAMPLE,RUSSAFA,39.46052,-0.37771,Entire home/apt,191.0,2,90,2026-05-24,0.56,1,9,12,Valencia - Regional registration number<br />VT-38102-V<br /><br />Spain - National registration number<br />ESFCTU000046059000235884000000000000000000VT-38102-V6
663047,Wonderful Penthouse · Terrace & Parking · Seasonal,3095064,1462618249651104235,Veronica,CAMINS AL GRAU,PENYA-ROJA,39.46358,-0.35514,Entire home/apt,170.0,16,46,2026-05-31,0.37,1,199,7,Spain - National registration number<br />ESFCNT00004606100051882900000000000000000000000000009<br /><br />Valencia - Regional registration number<br />Exempt - seasonal rental
672551,"Centro Ciudad, casa de 230m2 para 10/personas.",3410950,1462529776603749249,Raquel,CIUTAT VELLA,EL PILAR,39.47409,-0.38381,Entire home/apt,476.0,2,379,2026-06-02,2.3,1,249,37,Spain - National registration number<br />ESFCTU0000460630003273640000000000000CV-VUT0037977-V3<br /><br />Valencia - Regional registration number<br />CV-VUT0037977-V
681002,Ciudad de las Ciencias! Habitacion,3467642,1462630253489985598,Iriana,QUATRE CARRERES,CIUTAT DE LES ARTS I DE LES CIENCIES,39.45875,-0.35764,Private room,91.0,1,459,2026-06-27,2.84,1,30,37,
681925,"Very Central! Stunning Views, Sunny Terrace, Wifi!",3462415,1462630071545177626,Manuel,CIUTAT VELLA,EL MERCAT,39.47321,-0.38044,Entire home/apt,168.0,2,989,2026-06-13,5.91,1,225,63,Spain - National registration number<br />ESFCTU000046055000324900000000000000000000VT-38165-V5<br /><br />Valencia - Regional registration number<br />VT-38165-V
682219,Apartment wifi & terrace next,219476,1462512950298658032,Antonio,LA SAIDIA,SANT ANTONI,39.48678588867188,-0.375119000673294,Entire home/apt,137.0,2,78,2026-06-23,0.48,4,17,10,Valencia - Regional registration number<br />VT-31465-V<br /><br />Spain - National registration number<br />ESFCTU000046057000435037000000000000000000VT-31465-V9
688130,Beautiful 4 bedroom appartment WIFI,3512981,1462631363679363236,Mari Carmen,EL PLA DEL REAL,MESTALLA,39.47291,-0.35376,Entire home/apt,189.0,1,82,2025-07-25,0.5,1,348,1,
714886,Golf course and beach flat+wifi,3701192,1462637443172774868,Adriana,POBLATS DEL SUD,EL PERELLONET,39.30459663088146,-0.2919724763911811,Entire home/apt,98.0,11,131,2024-10-06,0.81,1,95,0,Spain - National registration number<br />ESFCNT00004605800017716300000000000000000000000000007<br /><br />Valencia - Regional registration number<br />Exempt - seasonal rental
720307,Bonito apartamento en pleno centro,3717753,1462637837192088696,Paul,EXTRAMURS,EL BOTANIC,39.47573,-0.38542,Entire home/apt,86.0,2,363,2026-06-15,2.29,1,158,26,Spain - National registration number<br />ESFCTU701146063000548141000000000000000000VT-40916-V1<br /><br />Valencia - Regional registration number<br />VT-40916-V
760857,Cozy rooftop flat with garden terrace.,372326,1462511464852699691,Sandro & BB,CIUTAT VELLA,EL MERCAT,39.47305,-0.38039,Entire home/apt,124.0,10,171,2026-05-15,1.18,2,162,8,Spain - National registration number<br />ESFCNT00004602500015418000000000000000000000000000005<br /><br />Valencia - Regional registration number<br />Exempt - seasonal rental
762722,"Con gran terraza frente a la playa, vintage, AC",1332880,1462543002718565528,Terracrea,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.46751,-0.32652,Entire home/apt,345.0,3,47,2026-04-26,0.36,3,32,4,Valencia - Regional registration number<br />CV-VUT0033845-V<br /><br />Spain - National registration number<br />Exempt - hotel complex
772380,Charming loft in Plaza Redonda -1,4075514,1462646716531727067,Ana,CIUTAT VELLA,EL MERCAT,39.47391,-0.37675,Entire home/apt,130.0,2,415,2026-06-16,2.55,6,103,49,Valencia - Regional registration number<br />VT-34649-V
776819,Our Sunny Penthouse. Only long stays,4096931,1462533570992093557,Jose,CIUTAT VELLA,EL CARME,39.47784,-0.38039,Entire home/apt,107.0,11,451,2026-04-09,2.76,11,259,4,Spain - National registration number<br />ESFCNT00004605500031050700000000000000000000000000005<br /><br />Valencia - Regional registration number<br />Exempt - seasonal rental
782199,Single and nice room next to La Marina!,3204897,1462528513556191183,Jennifer,POBLATS MARITIMS,EL GRAU,39.4608,-0.33432,Private room,65.0,11,35,2023-10-22,0.25,2,68,0,Spain - National registration number<br />ESFCNT00004606100051048900000000000000000000000000003
782942,Charming loft in Plaza Redonda -2,4075514,1462646716531727067,Ana,CIUTAT VELLA,EL MERCAT,39.47384,-0.37677,Entire home/apt,151.0,2,405,2026-06-16,2.53,6,133,49,Valencia - Regional registration number<br />VT-34650-V
